,Company,State,City,Started in,Founders,Industries,Number of employees,Funding,Funding rounds,Number of investors,Website
0, Urban Company,Haryana,Gurgaon,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Apps, Home Services, Marketplace, Service Industry",1001-5000,"$445,920,356",12,"16 (Bessemer Venture Partners, Tiger Global Management, Accel, Wellington Management, Dragoneer Investment Group)",https://www.urbancompany.com
1, Classplus,Uttar Pradesh,Noida,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi","B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software",101-250,"$89,506,451",10,"20 (Sequoia Capital India, Kunal Shah, Tiger Global Management, GSV Ventures, RTP Global)",https://classplusapp.com/
2, Paytm,Uttar Pradesh,Noida,2010,"Akshay Khanna, Vijay Shekhar Sharma","E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments",501-1000,"$32,448,851",4,"4 (Vijay Shekhar Sharma, K2 Global, Investopad, One97 Mobility Fund)",https://paytm.com/
3, Apna,Maharashtra,Mumbai,2019,Nirmit Parikh,"Employment, Human Resources, Recruiting, Staffing Agency",101-250,"$93,450,000",4,"6 (Sequoia Capital India, Greenoaks Capital, Tiger Global Management, Insight Partners, rocketship.vc)",https://apna.co
4, Razorpay,Karnataka,Bengaluru,2014,"Harshil Mathur, Shashank Kumar","Financial Services, FinTech, Payments, Software",1001-5000,"$366,600,000",7,"29 (Sequoia Capital India, Ribbit Capital, Kunal Shah, GIC, Tiger Global Management)",https://razorpay.com/
5, UpGrad,Maharashtra,Mumbai,2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","E-Learning, EdTech, Education",1001-5000,"$176,283,446",4,"4 (Temasek Holdings, International Finance Corporation, IIFL Asset Management, Unilazer Ventures)",https://upgrad.com
6, Delhivery,Haryana,Gurgaon,2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing",5001-10000,"$1,236,569,361",11,"13 (SoftBank, GIC, The Carlyle Group, Tiger Global Management, Canada Pension Plan Investment Board)",https://www.delhivery.com
7, mg,Haryana,Gurgaon,2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan","Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",11-50,"$204,600,209",16,"17 (Sequoia Capital India, Intel Capital, Sequoia Capital, International Finance Corporation, Maverick Ventures)",https://www.1mg.com/
8, BigBasket,Karnataka,Bengaluru,2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar","Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping",5001-10000,"$1,119,863,468",17,"17 (Bessemer Venture Partners, Alibaba Group, International Finance Corporation, Paytm Mall, Sands Capital Ventures)",https://bigbasket.com
9, GoMechanic,Haryana,Gurgaon,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa","Automotive, Customer Service, E-Commerce, Sales",251-500,"$59,849,371",8,"9 (Sequoia Capital India, Venture Catalysts, Tiger Global Management, Orios Venture Partners, Chiratae Ventures)",https://gomechanic.in/
